Country,Date,Temperature
USA,2023-07-08,26.25
USA,2023-07-07,-4.5
USA,2023-07-06,46.12
USA,2023-07-05,-24.75
USA,2023-07-04,23.15
USA,2023-07-03,2.03
USA,2023-07-02,46.0
Canada,2023-07-08,1.51
Canada,2023-07-07,17.16
Canada,2023-07-06,-20.27
Canada,2023-07-05,-12.96
Canada,2023-07-04,40.75
Canada,2023-07-03,37.21
Canada,2023-07-02,46.98
Mexico,2023-07-08,48.12
Mexico,2023-07-07,43.96
Mexico,2023-07-06,-3.26
Mexico,2023-07-05,43.57
Mexico,2023-07-04,9.35
Mexico,2023-07-03,29.03
Mexico,2023-07-02,-0.34
Germany,2023-07-08,27.67
Germany,2023-07-07,38.7
Germany,2023-07-06,-23.66
Germany,2023-07-05,-27.43
Germany,2023-07-04,20.71
Germany,2023-07-03,-28.0
Germany,2023-07-02,39.34
France,2023-07-08,37.0
France,2023-07-07,22.39
France,2023-07-06,19.91
France,2023-07-05,-27.54
France,2023-07-04,27.1
France,2023-07-03,18.64
France,2023-07-02,4.45
China,2023-07-08,28.02
China,2023-07-07,34.4
China,2023-07-06,47.76
China,2023-07-05,39.48
China,2023-07-04,46.53
China,2023-07-03,37.35
China,2023-07-02,28.34
